#mpa_vOct22_CHOCOPhlAnSGB_202212
clade_name	SRR5024_pe_SRR5024282_db_meta4.metaphlan	SRR5024_pe_SRR5024281_db_meta4.metaphlan	SRR5024_pe_SRR5024283_db_meta4.metaphlan	SRR5024_pe_SRR5024280_db_meta4.metaphlan
k__Bacteria	98.44665	99.99566	100.0	100.0
k__Archaea	1.55335	0.00434	0.0	0.0
k__Bacteria|p__Firmicutes	70.37029	64.9972	32.21332	75.51064
k__Bacteria|p__Actinobacteria	14.37671	2.18374	4.81894	11.61907
k__Bacteria|p__Bacteroidetes	12.4838	32.10789	60.32129	6.42244
k__Archaea|p__Euryarchaeota	1.55335	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria	0.75578	0.64019	2.64645	0.27602
k__Bacteria|p__Bacteria_unclassified	0.44857	0.06664	0.0	0.22736
k__Bacteria|p__Lentisphaerae	0.00767	0.0	0.0	0.0
k__Bacteria|p__Verrucomicrobia	0.00309	0.0	0.0	5.65602
k__Bacteria|p__Candidatus_Saccharibacteria	0.00046	0.0	0.0	0.01055
k__Bacteria|p__Tenericutes	0.00028	0.0	0.0	0.27789
k__Bacteria|p__Firmicutes|c__Clostridia	31.80208	58.85472	30.65269	58.58304
k__Bacteria|p__Firmicutes|c__CFGB4806	21.58999	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	12.42886	32.10789	60.32129	6.42244
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	9.23423	2.15448	4.21643	0.48179
k__Bacteria|p__Actinobacteria|c__Actinomycetia	5.14248	0.02926	0.6025	11.13728
k__Bacteria|p__Firmicutes|c__CFGB38642	3.40723	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli	3.29453	0.20364	0.0	2.27803
k__Bacteria|p__Proteobacteria|c__CFGB3069	2.06946	0.0	0.0	0.0
k__Archaea|p__Euryarchaeota|c__Methanobacteria	1.55335	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	1.11233	1.28582	0.25159	3.07717
k__Bacteria|p__Firmicutes|c__CFGB1249	0.91731	0.0	0.0	0.10256
k__Bacteria|p__Firmicutes|c__CFGB3022	0.85721	0.00142	0.0	0.0
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	0.81124	0.97681	0.51233	0.0
k__Bacteria|p__Firmicutes|c__Negativicutes	0.7808	0.30913	0.60536	4.4918
k__Bacteria|p__Firmicutes|c__CFGB76783	0.52498	0.0081	0.0	0.00317
k__Bacteria|p__Firmicutes|c__CFGB3043	0.45323	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB2983	0.40334	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB75715	0.36587	0.0	0.0	0.00067
k__Bacteria|p__Firmicutes|c__CFGB2985	0.26335	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__CFGB2992	0.2328	0.0	0.0	0.0
k__Bacteria|p__Bacteria_unclassified|c__CFGB76763	0.21577	0.06664	0.0	0.22736
k__Bacteria|p__Firmicutes|c__CFGB1011	0.20897	0.00978	0.02589	0.07177
k__Bacteria|p__Firmicutes|c__CFGB76779	0.14843	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB1227	0.13867	0.02374	0.0	0.07087
k__Bacteria|p__Proteobacteria|c__CFGB2403	0.13434	0.09135	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB3068	0.11886	0.36803	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB15212	0.10424	0.02336	0.0	0.0
